City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind Speed (mph)
Pale,0,BA,1579839378,100,43.82,18.57,15.8,2.24
Tura,0,IN,1579839379,51,25.52,90.22,63.36,2.37
Kudahuvadhoo,94,MV,1579839132,83,2.67,72.89,83.53,18.81
Thinadhoo,14,MV,1579839246,79,0.53,72.93,83.97,16.15
Ossora,100,RU,1579839384,84,59.24,163.07,-3.21,9.69
Kloulklubed,75,PW,1579839386,79,7.04,134.26,84.2,13.87
Don Luan,83,VN,1579839338,40,11.53,106.92,89.24,2.44
Port Moresby,40,PG,1579839389,59,-9.44,147.18,93.2,8.05
Akom,12,CM,1579839391,36,2.67,12.71,63.63,2.19
Rio Gallegos,25,AR,1579839392,61,-51.62,-69.22,46.4,12.75
Nuuk,100,GL,1579839224,85,64.18,-51.72,24.8,13.87
Beidao,100,CN,1579839396,73,34.57,105.89,32.65,3.83
Banepa,40,NP,1579839398,70,27.63,85.52,48.2,2.24
Tieling,0,CN,1579839400,74,42.29,123.84,7.66,1.79
Tsimmerbude,90,RU,1579839401,93,54.67,20.13,41.0,20.13
Bukachacha,0,RU,1579839403,76,52.98,116.92,-7.96,1.86
Bo Rai,20,TH,1579839405,70,12.57,102.54,88.0,6.93
Saalfeld,40,DE,1579839406,100,50.65,11.37,27.0,6.93
Omsukchan,95,RU,1579839409,99,62.53,155.8,-36.2,4.5
Dongsheng,0,CN,1579839410,61,39.82,109.98,22.23,3.83
Villarrica,0,PY,1579839222,80,-25.75,-56.43,69.84,4.14
Ulladulla,90,AU,1579839414,57,-35.35,150.47,84.99,14.99
Poya,39,NC,1579839415,76,-21.35,165.15,77.47,13.42
Rabo de Peixe,20,PT,1579839417,81,37.8,-25.58,53.6,9.17
Kodino,100,RU,1579839418,90,63.72,39.64,13.46,6.78
Ilo,100,PE,1579839420,92,-17.64,-71.34,72.52,2.37
Mossendjo,86,CG,1579839422,96,-2.95,12.73,70.66,0.96
Riyadh,0,SA,1579839423,60,24.69,46.72,41.0,2.24
Tooele,90,US,1579839425,100,40.53,-112.3,39.99,4.7
San Miguel de Tucuman,33,AR,1579839357,83,-26.82,-65.22,73.4,6.93
North Bend,90,US,1579839428,100,43.41,-124.22,53.01,3.36
Codrington,100,AU,1579839430,74,-38.27,141.97,63.1,22.06
Aklavik,90,CA,1579839432,76,68.22,-135.01,-5.8,8.05
Karakol,0,KG,1579839433,40,42.49,78.39,14.2,5.37
Chateaubelair,40,VC,1579839435,78,13.28,-61.25,78.8,14.99
Marabu,75,MY,1579839436,79,4.41,114.01,86.0,3.36
Kavaratti,20,IN,1579839438,78,10.57,72.64,82.4,4.7
Povenets,100,RU,1579839440,95,62.85,34.83,24.98,10.25
Tawang,0,IN,1579839441,55,27.58,91.87,27.97,2.59
Morecambe,70,GB,1579839443,100,54.07,-2.86,44.01,4.0
Santa Isabel do Rio Negro,0,BR,1579839294,74,-0.41,-65.02,79.2,2.19
Trapani,20,IT,1579839440,81,37.83,12.67,50.0,8.05
Tezu,99,IN,1579839184,59,27.92,96.17,57.56,1.77
Nioro,85,GM,1579839449,21,13.35,-15.75,78.75,7.38
Bouloupari,37,NC,1579839451,58,-21.87,166.05,84.2,18.34
Seymchan,100,RU,1579839453,94,62.88,152.43,-22.65,0.72
Soni,100,TZ,1579839454,85,-4.85,38.37,69.69,3.31
Kirakira,11,SB,1579839456,78,-10.45,161.92,81.63,4.05
Tarboro,1,US,1579839458,100,35.9,-77.54,46.4,6.49
Yining,100,CN,1579839459,97,29.04,114.56,45.73,3.38
Darhan,0,MN,1579839461,85,49.49,105.92,-0.89,4.41
Pochutla,40,MX,1579839462,83,15.74,-96.47,78.8,6.71
Weligama,0,LK,1579839464,70,5.97,80.42,80.98,11.03
San Jose,75,US,1579839415,76,37.34,-121.89,55.99,4.7
Teculutan,0,GT,1579839467,94,14.98,-89.72,63.39,3.78
Sola,40,VU,1579839469,62,-13.88,167.55,89.6,2.24
Biak,0,ID,1579839471,78,-0.91,122.88,81.72,8.57
Teya,100,RU,1579839472,95,60.38,92.63,11.73,5.1
Pervomayskoye,74,RU,1579839474,69,43.92,46.71,30.43,13.04
Acarau,100,BR,1579839475,93,-2.89,-40.12,76.39,2.68
Varzea Grande,75,BR,1579839477,78,-15.65,-56.13,80.6,6.93
High Rock,76,BS,1579839479,75,26.62,-78.28,71.46,16.08
Babu,88,CN,1579839480,73,24.42,111.52,58.51,6.71
Port Antonio,20,JM,1579839482,73,18.18,-76.46,73.4,10.29
Laguna,20,US,1579839484,81,38.42,-121.42,54.0,2.73
Bilibino,2,RU,1579839485,100,68.05,166.44,-37.28,1.99
Ereymentau,100,KZ,1579839210,90,51.62,73.1,26.78,23.64
Mumford,73,GH,1579839488,94,5.26,-0.76,76.96,3.36
Vardo,90,NO,1579839490,85,70.37,31.11,19.4,8.05
Virginia Beach,75,US,1579839492,93,36.85,-75.98,46.0,5.82
Havelock,75,US,1579839493,81,34.88,-76.9,51.8,4.7
Bulungu,32,CD,1579839495,71,-4.55,18.6,71.6,1.14
Esim,2,GH,1579839497,93,4.87,-2.24,77.79,2.55
Asau,0,RO,1579839498,85,46.43,26.4,21.2,4.7
Namtsy,100,RU,1579839500,66,62.72,129.67,-29.2,4.34
Luderitz,0,NA,1579839502,88,-26.65,15.16,64.4,2.24
Panaba,67,MX,1579839503,78,21.28,-88.27,67.82,7.29
Weihe,100,CN,1579839505,67,33.0,105.32,36.09,6.02
Takoradze,2,GH,1579839443,93,4.88,-1.76,77.79,2.55
Miyako,22,JP,1579839245,47,39.64,141.95,45.39,4.65
Pontinha,75,PT,1579839510,100,38.77,-9.2,48.99,4.7
Dalvik,90,IS,1579839511,50,65.97,-18.53,30.2,35.57
Saint-Andre-les-Vergers,0,FR,1579839513,92,48.29,4.05,28.0,2.24
Strezhevoy,75,RU,1579839515,86,60.73,77.59,26.6,15.66
Tautira,40,PF,1579839516,70,-17.73,-149.15,84.2,9.17
Kahului,40,US,1579839518,61,20.89,-156.47,77.0,5.82
Kanash,75,RU,1579839520,67,55.51,47.5,19.4,13.42
Killam,35,CA,1579839521,85,52.78,-111.85,19.99,7.0
Fort-Shevchenko,91,KZ,1579839523,95,44.51,50.26,31.71,22.88
Tangwani,54,PK,1579839525,87,28.28,69.0,48.2,5.32
Hamilton,90,US,1579839288,93,39.18,-84.53,39.99,4.7
Arrifes,20,PT,1579839528,81,37.77,-25.7,53.6,9.17
Vestmannaeyjar,100,IS,1579839529,79,63.44,-20.27,35.06,31.74
Launceston,75,AU,1579839531,37,-41.45,147.17,70.0,24.16
Turbat,0,PK,1579839533,72,26.0,63.04,59.99,1.9
Barra Patuca,1,HN,1579839534,69,15.8,-84.28,76.33,11.54
Boke,30,GN,1579839536,31,10.94,-14.3,76.64,3.29
Kanigiri,0,IN,1579839538,71,15.4,79.52,72.46,1.21
Mackenzie,90,CA,1579839278,93,55.3,-123.17,35.6,5.82
Balsas,100,BR,1579839541,93,-7.53,-46.04,74.16,3.44
Sault Ste. Marie,90,CA,1579839411,96,46.52,-84.33,32.0,8.05
Mount Gambier,90,AU,1579839539,52,-37.83,140.77,69.8,20.8
Kroya,81,ID,1579839546,59,-7.63,109.25,90.59,1.7
Yangi Marg`ilon,90,UZ,1579839547,92,40.43,71.72,26.6,2.24
Talusan,3,PH,1579839549,68,7.43,122.81,83.77,3.29
Gaspe,75,CA,1579839297,85,48.83,-64.48,32.0,8.05
Tanout,0,NE,1579839552,16,14.97,8.89,60.73,14.58
Nuevo Progreso,100,MX,1579839554,92,23.17,-97.95,68.0,3.71
Westport,1,US,1579839556,59,41.14,-73.36,37.99,5.57
Knysna,20,ZA,1579839557,86,-34.04,23.05,59.0,3.36
Harper,67,LR,1579839559,93,4.38,-7.72,77.0,2.13
Kungurtug,63,RU,1579839560,77,50.6,97.52,3.9,3.31
Along,81,IN,1579839265,72,28.17,94.77,53.4,1.57
Gorontalo,0,ID,1579839564,55,0.54,123.06,89.24,2.8
Wajid,100,SO,1579839565,72,3.81,43.25,75.31,23.82
Batagay,49,RU,1579839567,89,67.63,134.63,-37.91,1.1
Yabrud,40,SY,1579839569,75,33.97,36.66,42.8,13.87
Anadyr,75,RU,1579839570,76,64.75,177.48,-5.01,13.42
Bougouni,100,ML,1579839572,15,11.42,-7.48,75.16,5.86
Banda Aceh,88,ID,1579839574,64,5.56,95.32,84.11,7.09
Matagami,90,CA,1579839375,85,49.75,-77.63,10.4,2.24
Aksarka,100,RU,1579839577,95,66.56,67.8,11.16,5.95
Verkh-Usugli,65,RU,1579839579,72,52.7,115.17,-6.07,1.32
Adrar,100,MR,1579839557,21,20.5,-10.07,67.71,9.51
Hobyo,100,SO,1579839582,83,5.35,48.53,77.7,11.81
Ulukulevo,90,RU,1579839584,92,54.44,56.32,21.2,8.95
General Roca,0,AR,1579839585,29,-39.03,-67.58,77.0,4.7
Muros,100,ES,1579839587,81,42.78,-9.06,51.01,5.82
Ape,100,LV,1579839589,89,57.54,26.69,39.38,9.98
Conde,40,BR,1579839590,83,-7.26,-34.91,80.6,4.7
Salalah,75,OM,1579839553,73,17.02,54.09,77.0,1.12
Miraflores,90,MX,1579839593,50,19.22,-98.81,57.2,6.93
Pyatnitskoye,0,RU,1579839595,89,50.42,37.83,18.45,7.43
Marsh Harbour,0,BS,1579839597,75,26.54,-77.06,71.02,17.02
Tubuala,40,PA,1579839598,83,9.52,-79.03,77.0,2.24
Dukat,100,RU,1579839600,98,62.55,155.55,-34.62,3.24
Manuk Mangkaw,1,PH,1579839602,76,4.8,119.85,82.09,3.98
Severo-Kuril'sk,83,RU,1579839557,78,50.68,156.12,18.54,11.7
Mossamedes,100,AO,1579839605,77,-15.2,12.15,73.78,10.36
Rorvik,100,NO,1579839607,79,64.86,11.24,37.0,3.0
Tungor,100,RU,1579839609,94,53.38,142.96,-0.27,7.99
Apac,100,UG,1579839610,30,1.98,32.54,69.01,5.14
Seminole,75,US,1579839612,87,28.71,-81.21,63.0,5.82
Zabaykalsk,47,RU,1579839614,76,49.63,117.32,-2.07,3.74
Faya,75,SA,1579839615,93,18.39,42.45,50.0,9.17
Chenzhou,100,CN,1579839617,90,25.8,113.03,46.45,3.42
Arrondissement de Pau,99,FR,1579839619,93,43.42,-0.58,42.01,3.36
Waitati,88,NZ,1579839620,71,-45.75,170.57,69.01,20.92
Scottsbluff,1,US,1579839555,68,41.87,-103.67,26.6,4.7
Bay Roberts,90,CA,1579839623,86,47.6,-53.26,30.99,18.34
Rocha,0,UY,1579839625,95,-34.48,-54.33,63.48,9.53
Itaporanga,100,BR,1579839627,88,-7.3,-38.15,71.65,4.23
Muroran,20,JP,1579839628,70,42.32,140.99,32.0,23.04
Port Keats,55,AU,1579839630,68,-14.25,129.55,88.7,9.4
Stephenville,1,US,1579839631,70,32.22,-98.2,46.99,7.7
Loukhi,100,RU,1579839633,95,66.08,33.04,16.93,6.15
Karratha,0,AU,1579839635,77,-20.74,116.85,83.19,10.76
Camana,100,PE,1579839636,94,-16.62,-72.71,65.19,2.24
Jiutai,0,CN,1579839638,36,44.15,125.83,12.2,4.05
Barabai,0,ID,1579839640,52,-2.58,115.38,90.43,3.4
Manado,20,ID,1579839641,56,1.49,124.85,93.2,6.93
Eyl,100,SO,1579839643,81,7.98,49.82,78.42,19.89
Swan River,0,CA,1579839644,88,52.11,-101.27,12.7,4.68
Killybegs,93,IE,1579839646,95,54.63,-8.45,44.01,4.0
Altamont,90,US,1579839648,86,42.21,-121.74,39.2,8.05
Tolmachevo,90,RU,1579839649,91,54.98,82.74,32.0,22.37
Nara,75,JP,1579839651,67,34.69,135.8,57.99,6.93
Viedma,0,AR,1579839653,81,-40.81,-63.0,68.63,6.55
Megion,75,RU,1579839654,79,61.03,76.11,26.6,17.9
Sorkjosen,55,NO,1579839656,67,69.8,20.93,36.36,17.56
Singaraja,0,ID,1579839657,66,-8.11,115.09,84.76,5.01
Barguzin,88,RU,1579839659,95,53.62,109.62,-11.51,7.23
Anloga,20,GH,1579839661,94,5.79,0.9,78.8,3.36
Santo Antonio do Ica,94,BR,1579839662,89,-3.1,-67.94,77.14,1.68
Hanna,93,CA,1579839664,91,51.63,-111.9,19.99,4.0
Burriana,90,ES,1579839666,100,39.89,-0.09,50.0,2.24
Champerico,9,GT,1579839368,82,14.3,-91.92,74.01,5.1
San Andres,40,CO,1579839669,69,12.58,-81.7,78.8,6.93
Mogocha,35,RU,1579839670,85,53.73,119.77,-13.07,2.8
